연번,업종명,업소명,소재지(도로명),소재지(지번),소재지전화,등록기준일
1225,일반음식점,태백 닭갈비.만두전골,"세종특별자치시 마음안로 73, 두리빌딩 1층 101,102,103,104호 (고운동)",세종특별자치시 고운동 1639 두리빌딩 ,,2025-06-09
1226,일반음식점,루이경,"세종특별자치시 호려울로 51, 3층 301호 (보람동, 골드타워)",세종특별자치시 보람동 628-4 ,044 -865 -3013,2025-06-09
1227,일반음식점,고봉민김밥 세종소담점,"세종특별자치시 소담1로 12, 1층 105호 (소담동, 지엘플렉스1)",세종특별자치시 소담동 37-8 ,,2025-06-09
1228,일반음식점,교촌치킨 보람점,"세종특별자치시 호려울로 51, 1층 101,102호 (보람동, 골드타워)",세종특별자치시 보람동 628-4 ,,2025-06-09
1229,일반음식점,공주칼국수 고운점,"세종특별자치시 만남로 19, 주건축물제1동 1층 104,105호 (고운동, 세종시 고운동 스마트빌딩)",세종특별자치시 고운동 1811 ,,2025-06-09
1230,일반음식점,손큰할매순대국 세종국세청점,"세종특별자치시 정부2청사로 10, 에스엠타워 2층 202호 (나성동)",세종특별자치시 나성동 779 에스엠타워 202호,044 -866 -8568,2025-06-09
1231,일반음식점,버무리떡볶이 소담점,"세종특별자치시 소담1로 16, 1층 116호 (소담동, 지엘플렉스Ⅱ)",세종특별자치시 소담동 9-169 ,,2025-06-09
1232,일반음식점,메가엠지씨커피 세종소담점,"세종특별자치시 소담1로 12, 1층 109호 (소담동, 지엘플렉스Ⅰ)",세종특별자치시 소담동 37-8 ,044 -864 -1422,2025-06-09
1233,일반음식점,제주도야지,"세종특별자치시 나성로 133-9, 3층 304~305호 (나성동, 세종엔에스타워Ⅰ)",세종특별자치시 나성동 361-34 ,044 -853 -2422,2025-06-09
1234,일반음식점,커피공주,"세종특별자치시 한누리대로 2144, 1층 112~113호 (보람동, 세종스마트허브Ⅱ)",세종특별자치시 보람동 627-5 ,,2025-06-09
1235,일반음식점,심플(simple),"세종특별자치시 조치원읍 새내4길 18, 1층",세종특별자치시 조치원읍 남리 299-2 (1층) ,,2025-06-09
1236,일반음식점,엄마 쌈밥집,"세종특별자치시 한누리대로 194, 세종의아침 2층 216호 (나성동)",세종특별자치시 나성동 775 세종의아침 ,044 -862 -7538,2025-06-09
1237,일반음식점,대박집,"세종특별자치시 금남면 용포로 119-43, 좌측호 1동 1호",세종특별자치시 금남면 용포리 221-2 ,,2025-06-09
1238,일반음식점,맥스또띠아(세종홍익대점),"세종특별자치시 조치원읍 돌간길 43, 1층 101,102,103호",세종특별자치시 조치원읍 신안리 375-13 ,,2025-06-09
1239,일반음식점,어진명가,"세종특별자치시 가름로 232, 세종비지니스센터 B동 2층 214,215,216호 (어진동)",세종특별자치시 어진동 657 세종비지니스센터 ,044 -868 -3161,2025-06-09
